geneSymbol	diseaseName
BMP6	Dermatitis, Allergic Contact
BMP6	Hemochromatosis
BMP7	Bone Resorption
BMP7	Endometriosis
BMP7	Liver Cirrhosis, Experimental
BMP7	Pulmonary Fibrosis
BMP7	Stomach Neoplasms
BMPER	Opioid-Related Disorders
BMPR1A	Craniofacial Abnormalities
BMPR1A	Eye Abnormalities
BMPR1A	Female Urogenital Diseases
BMPR1A	Polyposis Syndrome, Hereditary Mixed, 2
BMPR1B	Bone Diseases, Developmental
BMPR1B	Chondrodysplasia, acromesomelic, with genital anomalies
BMPR1B	Craniofacial Abnormalities
BMPR1B	Eye Abnormalities
BMPR1B	Peripheral Nervous System Diseases
BNC2	Cleft Palate
BNC2	Craniofacial Abnormalities
BNIP3	Manganese Poisoning
BNIP3	Stomach Neoplasms
BOLL	Colorectal Neoplasms
BOP	Polymicrogyria, Bilateral Occipital
BOP1	Disease Progression
BOP1	Stomach Neoplasms
BOS2	Branchiootic Syndrome 2
BPIFA1	Fetal Alcohol Syndrome
BPIFA2	Substance-Related Disorders
BPPV	Benign paroxysmal positional vertigo
BRAF	Liver Neoplasms
BRCA1	Carcinoma, Adenoid Cystic
BRCA1	Cell Transformation, Neoplastic
BRCA1	Chromosome Breakage
BRCA1	Mammary Neoplasms, Animal
BRCA1	Mouth Diseases
BRCA1	Peripheral Nervous System Diseases
BRCA2	BREAST-OVARIAN CANCER, FAMILIAL, SUSCEPTIBILITY TO, 2
BRCA2	Glioma
BRCA2	Peripheral Nervous System Diseases
BRCATA	Breast Cancer, 11
BRCD1	Cancer, Familial, with In Vitro Radioresistance
BRD1	Carcinoma, Adenoid Cystic
BRD8	Endometriosis
BRIP1	Ovarian Neoplasms
BRKS1	Bruck syndrome 1
BRV2	Benign paroxysmal positional vertigo
BRWD1	Oligospermia
BSG	Amyotrophic lateral sclerosis 1
BSG	Neoplasm Invasiveness
BSG	Neoplasms, Experimental
BSG	Plaque, Atherosclerotic
BSN	Heart Diseases
BST1	Lung Diseases
BTBD1	Delayed Emergence from Anesthesia
BTBD11	Liver Neoplasms
BTD	Autistic Disorder
BTD	Drug-Induced Liver Injury
BTG1	Multiple Myeloma
BTG2	Chloracne
BTK	Hypogammaglobulinemia and Isolated growth hormone deficiency, X-linked
BUB1B	Esophageal Squamous Cell Carcinoma
BUB1B	Growth Disorders
BUB1B	Microcephaly
BULN	Bulimia Nervosa
BZX	Bazex-Dupre-Christol syndrome
C10orf10	Breast Neoplasms
C10orf10	Endometriosis
C10orf10	Lipidoses
C10orf11	Substance-Related Disorders
C10orf2	MITOCHONDRIAL DNA DEPLETION SYNDROME 3 (HEPATOCEREBRAL TYPE)
C10orf82	Substance-Related Disorders
C11orf30	Polycystic Ovary Syndrome
C11orf73	Disease Progression
C11orf73	Stomach Neoplasms
C12orf63	Melanoma
C12orf65	COMBINED OXIDATIVE PHOSPHORYLATION DEFICIENCY 7
C12orf65	Mitochondrial Encephalomyopathies
C12orf66	Polycystic Ovary Syndrome
C17orf96	Peripheral Nervous System Diseases
C19orf10	Keloid
C19orf12	Ovarian Neoplasms
C19orf18	Substance-Related Disorders
C19orf68	Polycystic Ovary Syndrome
C1orf106	Inflammatory Bowel Diseases
C1QA	Exanthema
C1QA	Glomerulonephritis, IGA
C1QA	Glomerulonephritis, Membranoproliferative
C1QA	Immune Complex Diseases
C1QB	Immunologic Deficiency Syndromes
C1QB	Myocardial Ischemia
C1QB	Ovarian Cysts
C1QBP	Breast Neoplasms
C1QTNF5	Lens Diseases
C1R	COMPLEMENT COMPONENT C1r/C1s DEFICIENCY
C1R	Endometriosis
C1R	Paratuberculosis
C1S	Autoimmune Diseases
C1S	Hashimoto Disease
C1S	Hepatitis, Autoimmune
C1S	Hereditary Angioedema Types I and II
C2	Dermatomyositis
C2	Macular Degeneration, Age-Related, 1
C3	Drug-Induced Liver Injury
C3	Immunologic Deficiency Syndromes
C3	Insulin Resistance
C3	Macular Degeneration, Age-Related, 9
C3	Paratuberculosis
C3	Pemphigus
C3	Purpura, Schoenlein-Henoch
C3orf58	Child Development Disorders, Pervasive
C4B	Drug Eruptions
C5	Complement component 5 deficiency
C5	Immunologic Deficiency Syndromes
C5	Peritonitis
C5AR1	Shock, Septic
C5orf63	Substance-Related Disorders
C6	Calcinosis
C6	Heart Valve Diseases
C8A	COMPLEMENT COMPONENT 8 DEFICIENCY, TYPE I
C8A	Immunologic Deficiency Syndromes
C8A	Meningitis
C8A	Neisseriaceae Infections
C8B	Arthritis, Juvenile Rheumatoid
C8B	Immunologic Deficiency Syndromes
C8B	Meningitis
C8B	Neisseriaceae Infections
C9	Dermatomyositis
C9	Erythema
C9	Facial Dermatoses
C9	Immunologic Deficiency Syndromes
C9	Meningitis, Meningococcal
C9	Opioid-Related Disorders
C9orf3	Atrial Fibrillation
C9orf3	Precancerous Conditions
CA1	Adenocarcinoma
CA1	Esophageal Squamous Cell Carcinoma
CA1	Stomach Neoplasms
CA2	Esophageal Squamous Cell Carcinoma
CA2	Stomach Neoplasms
CA3	Liver Cirrhosis, Experimental
CA3	Obesity
CA9	Anaplasia
CA9	Hypertension, Pulmonary
CABIN1	Cardiomegaly
CABLES1	Colorectal Neoplasms
CABYR	Colorectal Neoplasms
CACNA1B	Peripheral Nervous System Diseases
CACNA1C	Arrhythmias, Cardiac
CACNA1C	Hypoglycemia
CACNA1C	Immunologic Deficiency Syndromes
CACNA1C	Limb Deformities, Congenital
CACNA1H	Hyperalgesia
CACNA1S	Malignant hyperthermia susceptibility type 5
CACNA1S	Respiratory Insufficiency
CACNA1S	THYROTOXIC PERIODIC PARALYSIS, SUSCEPTIBILITY TO, 1
CACNA2D1	Colonic Neoplasms
CACNA2D1	Hyperalgesia
CACNA2D1	Neuralgia
CACNA2D1	Pain
CACNA2D2	Ataxia
CACNA2D2	Chorea
CACNA2D2	Infertility, Female
CACNA2D4	Retinal Cone Dystrophy 4
CACNB3	Ovarian Cysts
CACNB4	Epilepsy, Generalized
CAD	Anemia, Hypoplastic, Congenital
CAD	Anemia, Sickle Cell
CAD	beta-Thalassemia
CAD	Leukemia, Erythroblastic, Acute
CAD	Spherocytosis, Hereditary
CADM1	Depressive Disorder
CADPS	Peripheral Nervous System Diseases
CADPS2	Substance-Related Disorders
CALB1	Kidney Diseases
CALB2	Amyotrophic lateral sclerosis 1
CALB2	Uveitis
CALCA	Arthritis, Experimental
CALCA	Autistic Disorder
CALCA	Bronchial Hyperreactivity
CALCA	Catalepsy
CALCA	Down Syndrome
CALCA	Edema
CALCA	Hyperkinesis
CALCA	Inflammation
CALCA	Intellectual Disability
CALCA	Neurogenic Inflammation
CALCA	Sciatic Neuropathy
CALCA	Wounds and Injuries
CALCRL	Dermatitis, Allergic Contact
CALD1	Arthritis, Rheumatoid
CALM1	Cocaine-Related Disorders
CALM1	Marijuana Abuse
CALM1	Phencyclidine Abuse
CALM1	Weight Gain
CALM2	Cocaine-Related Disorders
CALM2	Marijuana Abuse
CALM2	Phencyclidine Abuse
CALR	Colorectal Neoplasms
CALR	Melanoma, Experimental
CALR	Myocardial Ischemia
CALR	Neoplasm Invasiveness
CALU	Neoplasm Invasiveness
CAMK2A	Cocaine-Related Disorders
CAMK2A	Hyperalgesia
CAMK2B	Cocaine-Related Disorders
CAMK2B	Marijuana Abuse
CAMK2B	Phencyclidine Abuse
CAMK2B	Psychoses, Substance-Induced
CAMK2D	Myocardial Ischemia
CAMK2D	Polycystic Ovary Syndrome
CAMK4	Cocaine-Related Disorders
CAMKK1	Nervous System Diseases
CAMPD1	Camptodactyly 1
CANDF1	Candidiasis, Familial, 1
CANDN1	Candidiasis, Familial, 3
CANX	Myocardial Ischemia
CAP1	Osteoporosis
CAPG	Adenocarcinoma of lung
CAPG	Carcinoma, Renal Cell
CAPG	Keloid
CAPG	Leukemia, Myeloid, Acute
CAPN1	Neoplasms
CAPN10	Diabetes Mellitus, Noninsulin-Dependent, 1
CAPN2	Leukemia, Myeloid, Acute
CAPNS1	Prostatic Neoplasms
CAPZA1	Esophageal Squamous Cell Carcinoma
CAPZB	Acute Coronary Syndrome
CAPZB	Carcinoma
CAPZB	Mammary Neoplasms, Animal
CAPZB	Mammary Neoplasms, Experimental
ADIPQTL3	ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 3
ADIPQTL2	ADIPONECTIN, SERUM LEVEL OF, QUANTITATIVE TRAIT LOCUS 2
CARD11	Carcinoma, Renal Cell
CARD11	Dermatitis, Atopic
CARD9	Candidiasis, Familial, 2
CARKD	Disease Progression
CARKD	Stomach Neoplasms
CARM1	Psoriasis
CARTPT	Cocaine-Related Disorders
CARTPT	Hyperalgesia
CARTPT	Hyperthyroidism
CASC1	Lung Neoplasms
CASC5	Peripheral Nervous System Diseases
CASK	Carcinoma
CASK	Cerebellar Diseases
CASK	Cleft Palate
CASK	Mammary Neoplasms, Animal
CASK	Mammary Neoplasms, Experimental
CASP1	Hypersensitivity
CASP1	Myocardial Reperfusion Injury
CASP1	Status Epilepticus
CASP10	Skin Neoplasms
CASP10	Stomach Neoplasms
CASP3	Calcinosis
CASP3	Cerebral Hemorrhage
CASP3	Diabetes Mellitus, Type 2
CASP3	Edema
CASP3	Heart Valve Diseases
CASP3	Nerve Degeneration
CASP3	Nervous System Diseases
CASP3	Neurotoxicity Syndromes
CASP3	Retinal Detachment
CASP3	Sepsis
CASP3	Status Epilepticus
CASP4	Schizophrenia
CASP7	Breast Neoplasms
CASP7	Leukemia, Myeloid, Acute
CASP7	Myocardial Reperfusion Injury
CASP7	Vitiligo
CASP8	Cerebral Hemorrhage
CASP8	Dermatitis, Allergic Contact
CASP8	Diabetes Mellitus, Type 2
CASP8	Edema
CASP8	Myocardial Reperfusion Injury
CASP8	Papillomavirus Infections
CASP8	Skin Neoplasms
CASP8	Stomach Neoplasms
CASP8	Uterine Cervical Neoplasms
CASP9	Brain Ischemia
CASP9	Edema
CASP9	Ischemic Attack, Transient
CASP9	Myocardial Reperfusion Injury
CASP9	Nervous System Diseases
CASP9	Peripheral Nervous System Diseases
CASP9	Retinal Detachment
CASR	Epilepsy, Generalized
CAST	Liver Failure, Acute
CAST	Necrosis
CAT	Abnormalities, Drug-Induced
CAT	Acute Lung Injury
CAT	Arthritis, Experimental
CAT	Asphyxia Neonatorum
CAT	Autistic Disorder
CAT	Behcet Syndrome
CAT	Cardiomyopathies
CAT	Cell Transformation, Neoplastic
CAT	Disease Progression
CAT	Disease Progression
CAT	Drug-Induced Liver Injury
CAT	Dyskinesia, Drug-Induced
CAT	Edema
CAT	Hepatitis
CAT	Hyperemia
CAT	Hypotension
CAT	Keratosis
CAT	Lymphoma, Large B-Cell, Diffuse
CAT	Mesothelioma
CAT	Necrosis
CAT	Neoplasm Invasiveness
CAT	Osteoporosis, Postmenopausal
CAT	Phobic Disorders
CAT	Protein Deficiency
CAT	Pulmonary Edema
CAT	Pulmonary Embolism
CAT	Seizures
CAT	Seizures
CAT	Status Epilepticus
CAT	Status Epilepticus
CTRCT34	Cataract, Autosomal Recessive Congenital 3
CTRCT35	Cataract, Congenital Nuclear, Autosomal Recessive 1
MCOPCT1	Microphthalmia, Isolated, with Cataract 1
CATSPER1	Spermatogenic Failure 7
CAV1	Atrial Fibrillation
CAV1	Diabetes Mellitus, Experimental
CAV1	Lipodystrophy, Congenital Generalized, Type 3
CAV1	Ovarian Neoplasms
CAV1	Stomach Neoplasms
CAV1	Weight Gain
CAV2	Atrial Fibrillation
CAV3	Cardiomegaly
CAV3	Chromosome 3, monosomy 3p25
CAV3	Diabetes Mellitus, Experimental
CBFB	Bone Diseases, Developmental
CBFB	Heart Defects, Congenital
CBFB	Ossification, Heterotopic
CBL	Cryptorchidism
CBL	Growth Disorders
CBL	Vasculitis
CBR1	Prostatic Neoplasms
CBS	Malnutrition
CBX1	Prostatic Neoplasms
CC2D1A	Mental Retardation, Autosomal Recessive 3
CCA1	Cerulean cataract
CCAL1	Chondrocalcinosis 1
CCBE1	Facies
CCBE1	Hydrops Fetalis
CCBE1	Intellectual Disability
CCBL1	Carcinoma
CCBL1	Kidney Neoplasms
CCDC108	Schizophrenia
CCDC134	Liver Neoplasms
CCDC134	Precancerous Conditions
CCDC137	Schizophrenia
CCDC176	Polycystic Ovary Syndrome
CCDC50	Deafness, Autosomal Dominant 44
CCDC63	Melanoma
CCDC80	Dermatitis, Atopic
CCDC91	Substance-Related Disorders
CCHCR1	Amphetamine-Related Disorders
CCK	Catalepsy
CCK	Dyskinesia, Drug-Induced
CCK	Gastrointestinal Diseases
CCK	Hyperkinesis
CCK	Inflammation
CCK	Liver Diseases
CCK	Neurotoxicity Syndromes
CCK	Stomach Ulcer
CCK	Stomach Ulcer
CCK	Unconsciousness
CCKBR	Cocaine-Related Disorders
CCKBR	Obsessive-Compulsive Disorder
CCKBR	Substance Withdrawal Syndrome
CCL1	Nephritis, Interstitial
CCL1	Pulmonary arterial hypertension
CCL11	Brain Ischemia
CCL11	Drug Hypersensitivity
CCL11	HIV Infections
CCL11	Hypersensitivity
CCL11	Respiratory Hypersensitivity
CCL17	Hypersensitivity
CCL19	Hypersensitivity
CCL19	Pneumonia
CCL2	Brain Injuries
CCL2	Bronchial Hyperreactivity
CCL2	Calcinosis
CCL2	Drug-Induced Liver Injury
CCL2	Heart Valve Diseases
CCL2	Hepatitis, Autoimmune
CCL2	Hyperalgesia
CCL2	Hyperoxaluria
CCL2	Infarction, Middle Cerebral Artery
CCL2	Liver Cirrhosis, Experimental
CCL2	Lung Injury
CCL2	Muscular Dystrophy, Duchenne
CCL2	MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO
CCL2	Myocardial Reperfusion Injury
CCL2	Nephritis, Interstitial
CCL2	Neural Tube Defects
CCL2	Pleural Diseases
CCL2	Reperfusion Injury
CCL2	Spinal Cord Compression
CCL2	Status Epilepticus
CCL20	Arsenic Poisoning
CCL20	Breast Neoplasms
CCL20	Colonic Neoplasms
CCL20	Diabetes Mellitus, Experimental
CCL20	Diabetes Mellitus, Type 1
CCL20	Hypersensitivity
CCL20	Pneumonia
CCL20	Skin Diseases
CCL24	Drug Hypersensitivity
CCL24	Hypersensitivity
CCL24	Pneumonia
CCL3	Brain Ischemia
CCL3	Glomerulonephritis
CCL3	Hypersensitivity
CCL3	Inflammation
CCL3	Lung Injury
CCL3	Myocardial Ischemia
CCL3	Pulmonary Fibrosis
CCL3	Reperfusion Injury
CCL3	Status Epilepticus
CCL3L3	Arsenic Poisoning
CCL3L3	Skin Diseases
CCL4	Arsenic Poisoning
CCL4	Brain Ischemia
CCL4	Glomerulonephritis
CCL4	Hypersensitivity
CCL4	Inflammation
CCL4	Lung Injury
CCL4	Myocardial Ischemia
CCL4	Pneumonia
CCL4	Pulmonary Fibrosis
CCL4	Skin Diseases
CCL5	Hepatitis, Autoimmune
CCL5	Liver Cirrhosis, Biliary
CCL5	Peripheral Nervous System Diseases
CCL7	Cholestasis
CCL7	Hypersensitivity
CCL7	Infarction, Middle Cerebral Artery
CCL8	Hypersensitivity
CCL8	Influenza, Human
CCL8	Nephrogenic Fibrosing Dermopathy
CCL8	Pneumonia
CCL8	Respiratory Hypersensitivity
CCM2	Hemangioma, Cavernous, Central Nervous System
CCNA1	Carcinoma, Hepatocellular
CCNA1	Papillomavirus Infections
CCNA2	Peripheral Nervous System Diseases
CCNB3	Osteosarcoma
CCND1	Cecal Neoplasms
CCND1	Cell Transformation, Neoplastic
CCND1	Hemangiosarcoma
CCND1	Mammary Neoplasms, Animal
CCND1	Myocardial Ischemia
CCND1	Neoplasms, Experimental
CCND1	Salivary Gland Neoplasms
CCND1	Urologic Neoplasms
CCND2	Cardiomegaly
CCND2	Fibrosis
CCND2	Myocardial Ischemia
CCND2	Ovarian Neoplasms
CCNDBP1	Liver Neoplasms, Experimental
CCNE1	Disease Progression
CCNE1	Medulloblastoma
CCNE1	Recurrence
CCNE1	Urinary Bladder Neoplasms
CCNE2	Endometriosis
CCNE2	Polycystic Ovary Syndrome
CCNG1	Lung Neoplasms
CCNH	Carcinoma
CCNH	Mammary Neoplasms, Animal
CCNH	Mammary Neoplasms, Experimental
CTRCT27	Cataract, Nuclear Progressive
CTRCT25	Cataract, Central Saccular, With Sutural Opacities
CCR1	Hypersensitivity
CCR1	Liver Diseases
CCR1	Pneumonia
CCR10	Status Epilepticus
CCR2	Dermatitis, Allergic Contact
CCR2	Drug-Induced Liver Injury
CCR2	Pneumonia
CCR2	Status Epilepticus
CCR3	Asthma, Aspirin-Induced
CCR3	Respiratory Hypersensitivity
CCR3	Status Epilepticus
CCR4	Brain Ischemia
CCR4	Glioma
CCR4	Liver Neoplasms
CCR5	Diabetes Mellitus, Insulin-Dependent, 22
CCR6	Hypersensitivity
CCR6	Pneumonia
CCR7	Status Epilepticus
CCR8	Status Epilepticus
CCR9	Hypersensitivity
CCR9	Pneumonia
CCR9	Status Epilepticus
ACKR4	Abortion, Spontaneous
CCRL2	Arsenic Poisoning
CCS	Deficiency Diseases
CCSER1	Cocaine-Related Disorders
CCT2	Osteoporosis
CCT3	HIV Infections
CCT5	HIV Infections
CCT6B	Burkitt Lymphoma
CCT7	Disease Progression
CCT7	HIV Infections
CCT7	Stomach Neoplasms
CCV	Cataract congenital Volkmann type
CD109	Breast Neoplasms
CD109	Colorectal Neoplasms
CD14	Brain Injuries
CD14	Non-alcoholic Fatty Liver Disease
CD163	Abortion, Spontaneous
CD163	Carotid Artery Diseases
CD163L1	Melanoma
CD164	Abortion, Spontaneous
CD2	Thrombosis
CD209	MYCOBACTERIUM TUBERCULOSIS, SUSCEPTIBILITY TO
CD226	Abortion, Spontaneous
CD226	Endometriosis
CD247	Immunodeficiency due to Defect in CD3-Zeta
CD27	Cachexia
CD27	Peripheral Nervous System Diseases
CD274	Hypersensitivity
CD274	Substance-Related Disorders
CD28	Berylliosis
CD28	Chloracne
CD320	METHYLMALONIC ACIDURIA DUE TO TRANSCOBALAMIN RECEPTOR DEFECT
CD34	Cell Transformation, Neoplastic
CD36	Dermatitis, Allergic Contact
CD36	Immunologic Deficiency Syndromes
CD36	Myocardial Ischemia
CD36	PLASMODIUM FALCIPARUM BLOOD INFECTION LEVEL
CD36	Reperfusion Injury
CD36	Staphylococcal Infections
CD36	Weight Gain
CD3D	Dermatitis, Allergic Contact
CD3D	Liver Cirrhosis, Biliary
CD3D	Liver Diseases
CD3D	Neurotoxicity Syndromes
CD3D	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell-Negative, B Cell-Positive, NK Cell-Negative
CD3D	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell Negative, B Cell Positive, NK Cell Positive
CD3E	Arthritis, Rheumatoid
CD3E	Severe Combined Immunodeficiency, Autosomal Recessive, T Cell Negative, B Cell Positive, NK Cell Positive
CD4	Nerve Degeneration
CD40	Status Epilepticus
CD40LG	Hypersensitivity
CD40LG	Hypertension, Pulmonary
CD40LG	Necrosis
CD44	Acute Kidney Injury
CD44	Arsenic Poisoning
CD44	Mammary Neoplasms, Experimental
CD44	Nerve Degeneration
CD44	Peripheral Nervous System Diseases
CD44	Vitiligo
CD55	Amphetamine-Related Disorders
CD55	Endometriosis
CD63	Liver Neoplasms, Experimental
CD68	Abortion, Spontaneous
CD68	Amyotrophic lateral sclerosis 1
CD68	Diabetes Mellitus, Experimental
CD69	Abortion, Spontaneous
CD69	Arthritis, Experimental
CD7	Abortion, Spontaneous
CD7	Amyotrophic lateral sclerosis 1
CD74	Liver Failure, Acute
CD79A	Agammaglobulinemia
CD79B	Liver Diseases
CD79B	Lymphoma, Large B-Cell, Diffuse
CD80	Liver Cirrhosis, Biliary
CD80	Vitiligo
CD82	Abortion, Spontaneous
CD82	Neoplasm Invasiveness
CD83	Arsenic Poisoning
CD84	Abortion, Spontaneous
CD86	Liver Diseases
CD9	Neoplasms, Germ Cell and Embryonal
CD9	Nerve Degeneration
CD97	Lung Diseases
CD99	Chondrosarcoma, Mesenchymal
CDAGS	Craniosynostosis, anal anomalies, and porokeratosis
CDB2	Corneal dystrophy, Thiel-Behnke type
CDC42	HIV Infections
CDC42	Mammary Neoplasms, Animal
CDC42	Mammary Neoplasms, Experimental
CDC42	Necrosis
CDC6	Peripheral Nervous System Diseases
CDC6	Polycystic Ovary Syndrome
CDCA2	Peripheral Nervous System Diseases
CDCP1	Substance-Related Disorders
CDH1	Disease Progression
CDH1	Helicobacter Infections
CDH1	Liver Neoplasms, Experimental
CDH1	Mammary Neoplasms, Animal
CDH1	Mammary Neoplasms, Experimental
CDH1	Mesothelioma
CDH1	Mycoplasma Infections
CDH1	Neoplasm Invasiveness
CDH1	Neoplasm Invasiveness
CDH1	Nerve Degeneration
CDH1	Prostatic Intraepithelial Neoplasia
CDH1	Salivary Gland Neoplasms
CDH13	Amphetamine-Related Disorders
CDH13	Esophageal Neoplasms
CDH13	Substance-Related Disorders
CDH15	Polycystic Ovary Syndrome
CDH2	Lung Neoplasms
CDH2	Myocardial Ischemia
CDH2	Nerve Degeneration
CDH2	Status Epilepticus
CDH3	Colitis, Ulcerative
CDH3	Ovarian Cysts
CDH5	Colorectal Neoplasms
CDH5	Liver Cirrhosis, Biliary
CDH5	No-Reflow Phenomenon
CDH6	Cachexia
CDH7	Colorectal Neoplasms
CDHR1	CONE-ROD DYSTROPHY 15
CDK20	Alcoholism
CDK2AP2	Prostatic Neoplasms
CDK4	Mammary Neoplasms, Animal
CDK4	Neoplasms, Experimental
CDK4	Stomach Neoplasms
CDK5	Peripheral Nervous System Diseases
CDK5RAP2	Microcephaly, Primary Autosomal Recessive, 3
CDK6	Chloracne
CDK7	Peripheral Nervous System Diseases
CDKAL1	Birth Weight
CDKAL1	Body Weight
CDKL5	Epileptic Encephalopathy, Early Infantile, 1
CDKN1A	HIV Infections
CDKN1A	Kidney Diseases
CDKN1A	Muscular Dystrophy, Facioscapulohumeral
CDKN1A	Reperfusion Injury
CDKN1B	Adenoma, Liver Cell
CDKN1B	Chloracne
CDKN1B	Helicobacter Infections
CDKN1B	Kidney Neoplasms
CDKN1B	Liver Neoplasms
CDKN1B	Rectal Neoplasms
CDKN1B	Uterine Neoplasms
CDKN1C	Adenocarcinoma
CDKN1C	Endometrial Hyperplasia
CDKN1C	Endometrial Neoplasms
CDKN1C	Lung Neoplasms
CDKN1C	Melanoma
CDKN2A	Melanoma astrocytoma syndrome
CDKN2A	Peripheral Nervous System Diseases
CDKN2A	Poisoning
CDKN2A	Translocation, Genetic
CDKN2A	Urogenital Neoplasms
CDKN2B	Poisoning
CDKN2D	Stomach Neoplasms
CDO1	Liver Cirrhosis, Experimental
CDR3	CEREBELLAR DEGENERATION-RELATED AUTOANTIGEN 3
CDS1	Carcinoma
CDS1	Mammary Neoplasms, Animal
CDS1	Mammary Neoplasms, Experimental
CDSN	Hypotrichosis Simplex of Scalp
CDYL	Small Cell Lung Carcinoma
CEACAM1	Abortion, Spontaneous
CEACAM5	Abortion, Spontaneous
CEACAM6	Abortion, Spontaneous
CEBPA	Head and Neck Neoplasms
CEBPA	Neoplasms, Radiation-Induced
CEBPA	Precancerous Conditions
CEBPA	Skin Neoplasms
CEBPB	Brain Injuries
CEBPB	Brain Ischemia
CEBPD	Myocardial Ischemia
CECR	Abnormalities, Multiple
CECR	Craniofacial Abnormalities
CECR	Eye Abnormalities
CECR2	Neural Tube Defects
CELA2A	Hypertension
CELF2	Schizophrenia
CELIAC10	Celiac Disease
CELIAC11	Celiac Disease
CELIAC12	Celiac Disease
CELIAC13	Celiac Disease
CELIAC5	Celiac Disease
CELIAC6	Celiac Disease
CELIAC7	Celiac Disease
CELIAC8	Celiac Disease
CELIAC9	Celiac Disease
CELSR2	Endometrial Hyperplasia
CENPCP1	Amphetamine-Related Disorders
CEP152	Microcephaly, Primary Autosomal Recessive, 4
CEP250	Peripheral Nervous System Diseases
CEP290	Leber Congenital Amaurosis 10
CEP290	Meckel Syndrome, Type 4
CEP41	Child Development Disorders, Pervasive
CEP55	Polycystic Ovary Syndrome
CEP63	Microcephaly
CERS6	Substance-Related Disorders
CES1	Cocaine-Related Disorders
CES1	Hypercholesterolemia
CES1	Lung Neoplasms
CES1	Metabolism, Inborn Errors
CES1	Opioid-Related Disorders
CES1	Peripheral Nervous System Diseases
CES2	Cocaine-Related Disorders
CES2	Drug Toxicity
CES2	Liver Cirrhosis, Experimental
CES3	Liver Cirrhosis, Experimental
CES3	Myocardial Ischemia
CETP	Peripheral Nervous System Diseases
CFB	Brain Injuries
CFB	Macular Degeneration, Age-Related, 1
CFB	Myasthenia Gravis
CFC1	Conotruncal cardiac defects
CFD	Endometriosis
CFD	Glomerulonephritis
CFD	Immunologic Deficiency Syndromes
CFD	Neisseriaceae Infections
CFD	Ovarian Cysts
CFH	Immunologic Deficiency Syndromes
CFHR1	Macular Degeneration, Age-Related, 1
CFHR3	Macular Degeneration, Age-Related, 1
CFL1	Neoplasm Invasiveness
CFL1	Precancerous Conditions
CFM1	Cystic Fibrosis Modifier 1
CFP	Meningitis, Meningococcal
CFSS	Craniofacioskeletal Syndrome
CFTDX	Myopathy, Congenital, With Fiber-Type Disproportion, X-Linked
CFTR	Bronchiectasis With Or Without Elevated Sweat Chloride 1
CFTR	Hernia, Diaphragmatic
CFTR	Rhinitis
CFTR	Substance-Related Disorders
CGA	Adrenal Gland Diseases
CGA	Disease Progression
CGA	Hemiplegia
CGA	Oligospermia
CGA	Ovarian Diseases
CGA	Thyroid cancer, follicular
CGA	Uterine Diseases
CGB	Fetal Resorption
CGB	Hypogonadism
CGF1	COGNITIVE FUNCTION 1, SOCIAL
CHAF1A	Mouth Diseases
CHAF1B	Mouth Diseases
CHAT	Seizures
CHCHD3	Substance-Related Disorders
CHD1L	Substance-Related Disorders
CHD4	Endometrial Neoplasms
CHD4	Schizophrenia
CHD5	Colorectal Neoplasms
CHD6	Carcinoma, Transitional Cell
CHD6	Urinary Bladder Neoplasms
CHD7	SCOLIOSIS, IDIOPATHIC, SUSCEPTIBILITY TO, 3
CHDM	Chordoma
CHDS1	Coronary Disease
CHDS2	Coronary Disease
CHDS3	Coronary Disease
CHDS4	Coronary Disease
CHDS8	Coronary Disease
CHDS9	Coronary Disease
CHEK1	Peripheral Nervous System Diseases
CHEK2	Disease Progression
CHEK2	Neuroblastoma
CHFR	Endometrial Neoplasms
CHI3L1	ASTHMA-RELATED TRAITS, SUSCEPTIBILITY TO, 7
CHIA	Abortion, Spontaneous
CHMP4C	Ovarian Neoplasms
CHMRQ	Cerebellar Ataxia, Mental Retardation, And Dysequilibrium Syndrome 2
CHN2	Liver Neoplasms
CHN2	Precancerous Conditions
CHPT1	Respiratory Distress Syndrome, Adult
CHRM1	Brain Ischemia
CHRM1	Epilepsy
CHRM1	Seizures
CHRM2	Bradycardia
CHRM2	Diabetes Mellitus, Experimental
CHRM2	Diabetes Mellitus, Type 1
CHRM2	Diabetic Neuropathies
CHRM2	Epilepsy
CHRM2	Substance-Related Disorders
CHRM3	Ascites
CHRM3	Drug-Induced Liver Injury
CHRM3	Liver Cirrhosis
CHRM4	Catatonia
CHRM4	Tremor
CHRM5	Cocaine-Related Disorders
CHRM5	Substance Withdrawal Syndrome
CHRNA1	Fibrosis
CHRNA1	Myasthenic syndrome, congenital, postsynaptic slow-channel
CHRNA3	TOBACCO ADDICTION, SUSCEPTIBILITY TO
CHRNA4	Developmental Disabilities
CHRNA4	Dystonia
CHRNA4	Sleep Disorders
CHRNA4	TOBACCO ADDICTION, SUSCEPTIBILITY TO
CHRNA5	Anxiety Disorders
CHRNA5	Seizures
CHRNA5	Substance Withdrawal Syndrome
CHRNA5	TOBACCO ADDICTION, SUSCEPTIBILITY TO
CHRNA6	Substance Withdrawal Syndrome
